id,business_name,instagram_handle,instagram_url,municipality,address_or_area,category,verification_status,verification_note,source_urls_text
17,Iron Life fitness club,iron_life_fitness_club_,https://www.instagram.com/iron_life_fitness_club_/,Aci Sant'Antonio,"Via Dante Alighieri, 50",palestra,verificato,"Profilo Instagram verificato, palestra ad Aci Sant'Antonio.",https://www.instagram.com/iron_life_fitness_club_/ | https://www.fresha.com/lvp/iron-life-fitness-club-via-dante-alighieri-aci-santantonio-ovEj6a | https://www.fresha.com/en-GB/lvp/iron-life-fitness-club-via-dante-alighieri-aci-santantonio-ovEj6a
18,Brizz Nuoto & Fitness,brizznuotoefitness,https://www.instagram.com/brizznuotoefitness/,Acireale,Via V.Sardella 14,centro fitness,verificato,Profilo Instagram verificato come palestra/centro fitness ad Acireale (CT).,https://www.instagram.com/brizznuotoefitness/
19,CrossFit Acireale,crossfitacireale,https://www.instagram.com/crossfitacireale/,Acireale,Acireale,box crossfit,verificato,Profilo Instagram verificato come palestra/centro fitness ad Acireale (CT).,https://www.instagram.com/crossfitacireale/
20,FitActive Acireale,fitactiveacireale,https://www.instagram.com/fitactiveacireale/,Acireale,Via Santa Maria delle Grazie,palestra,verificato,Profilo Instagram verificato come palestra/centro fitness ad Acireale (CT).,https://www.instagram.com/fitactiveacireale/ | https://www.fitactive.it/i-club/Acireale.php
21,Fitness&Fight Acireale,fitness_and_fight,https://www.instagram.com/fitness_and_fight/,Acireale,Via Nazionale per Catania 129,palestra,verificato,Profilo Instagram verificato come palestra/centro fitness ad Acireale (CT).,https://www.instagram.com/fitness_and_fight/
22,Masters of Fitness,mastersoffitness,https://www.instagram.com/mastersoffitness/,Acireale,Acireale,palestra,verificato,Profilo Instagram verificato come palestra/centro fitness ad Acireale (CT).,https://www.instagram.com/mastersoffitness/ | https://www.facebook.com/mastersfitnessitalia/
23,OFIT BOX,ofitbox,https://www.instagram.com/ofitbox/,Acireale,Acireale,box cross training,verificato,Profilo Instagram verificato come palestra/centro fitness ad Acireale (CT).,https://www.instagram.com/ofitbox/
24,Palestra Vany Sport,vanysport_palestra,https://www.instagram.com/vanysport_palestra/,Acireale,Acireale,palestra,verificato,Profilo Instagram verificato come palestra/centro fitness ad Acireale (CT).,https://www.instagram.com/vanysport_palestra/ | https://www.facebook.com/vanysportpalestra/
25,Scandura Fitness,scandurafitness,https://www.instagram.com/scandurafitness/,Acireale,Via Scalia,palestra,verificato,Profilo Instagram verificato come palestra/centro fitness ad Acireale (CT).,https://www.instagram.com/scandurafitness/ | https://www.facebook.com/pages/Scandura-Fitness/666724020124437
26,Volcania Fitness Center,volcaniafitnesscenter,https://www.instagram.com/volcaniafitnesscenter/,Acireale,Acireale Centro,palestra,verificato,Profilo Instagram verificato come palestra/centro fitness ad Acireale (CT).,https://www.instagram.com/volcaniafitnesscenter/
27,Centro Core,coreadrano,https://www.instagram.com/coreadrano/,Adrano,Adrano,centro pilates e fitness,verificato,Profilo Instagram confermato come attivo e corrispondente a un centro pilates/fitness ad Adrano.,https://www.instagram.com/coreadrano/
28,Victoria Sporting Club,victoriasportingclub,https://www.instagram.com/victoriasportingclub/,Adrano,Via Catania 18,palestra,verificato,Profilo Instagram confermato come attivo e corrispondente a una palestra ad Adrano.,https://victoriasportingclub.it/ | https://www.instagram.com/victoriasportingclub/ | https://www.facebook.com/victoriasportingclub/
29,AREA 4 asd,area_4_asd,https://www.instagram.com/area_4_asd/,Belpasso,Belpasso,Palestra,verificato,Profilo palestra verificato.,https://www.instagram.com/area_4_asd/ | https://fitnessfast.it/palestre/sicilia/belpasso/
30,CrossBox Belpasso,crossbox.belpasso,https://www.instagram.com/crossbox.belpasso/,Belpasso,Belpasso,CrossTraining / Weightlifting,verificato,"Box CrossFit, profilo verificato.",https://www.instagram.com/crossbox.belpasso/
31,FitActive Catania Belpasso,fitactivecatania.belpasso,https://www.instagram.com/fitactivecatania.belpasso/,Belpasso,"Via Rinaudo, 4",Palestra / Fitness 24/7,verificato,"Franchising noto, profilo verificato.",https://www.instagram.com/fitactivecatania.belpasso/ | https://www.fitactive.it/i-club/CataniaBelpasso.php
32,Kolman Fitness - Centro Benessere,official_kolmanfitness,https://www.instagram.com/official_kolmanfitness/,Belpasso,Via III Retta di Ponente,Palestra / Centro Benessere,verificato,Centro benessere/palestra verificato.,https://fitnessfast.it/kolman-fitness-centro-benessere-via-iii-retta-di-ponente-belpasso/ | https://www.instagram.com/p/CbAMhFbI6JO/
33,Mighty Gym A.S.D,mighty_gym_biancavilla,https://www.instagram.com/mighty_gym_biancavilla/,Biancavilla,via delle madonie 3,palestra,verificato,Profilo Instagram ufficiale confermato a Biancavilla.,https://www.instagram.com/mighty_gym_biancavilla/ | https://www.facebook.com/p/Migthy-gym-ASD-Biancavilla-100040214900464/
34,Pleiadi Palestre,pleiadipalestre,https://www.instagram.com/pleiadipalestre/,Biancavilla,Via del Trebbiatore / Villa Delle Favare,palestra,verificato,Profilo Instagram ufficiale confermato a Biancavilla.,https://www.instagram.com/pleiadipalestre/ | https://fitprime.com/it/servizi/places/centri-sportivi/catania/ssd_pleiadi_scienza_e_movimento
35,Centro Sportivo Fitness Planet,centrosporty,https://www.instagram.com/centrosporty/,Bronte,Via Tancredi D'Altavilla,palestra,verificato,"Palestra confermata a Bronte, profilo Instagram e Facebook attivi.",https://www.facebook.com/centrosporty/ | https://www.instagram.com/explore/locations/155403038260779/centro-sportivo-fitness-planet/ | https://www.paginegialle.it/bronte-ct/centro-sportivo-brontese-saporito-claudia-c
36,Il Tempio Del Fitness Bronte,iltempiodelfitness,https://www.instagram.com/iltempiodelfitness/,Bronte,Bronte,palestra,verificato,"Palestra confermata a Bronte, profilo Instagram trovato (iltempiodelfitness).",https://www.instagram.com/iltempiodelfitness/ | https://www.facebook.com/667515846724873
37,Palestra New Body,palestra.newbody,https://www.instagram.com/palestra.newbody/,Bronte,Viale Catania 29,palestra,verificato,"Palestra confermata a Bronte, profilo Instagram e Facebook attivi.",https://www.facebook.com/palestra.newbody.bronte/ | https://www.instagram.com/explore/locations/268367195/palestra-new-body/
38,Pitbull Gym - Kickboxing & Muay Thai,pitbullgymbronte,https://www.instagram.com/pitbullgymbronte/,Bronte,Via Tancredi D'Altavilla,functional training,verificato,Palestra di arti marziali e fitness confermata a Bronte.,https://www.instagram.com/pitbullgymbronte/ | https://www.localshop24.com/it/bronte-ct-it/attivita/centro-arti-marziali/pitbull-gym-bronte-kickboxing-muay-thai/
39,Entra in Scena,asd_entrainscena,https://www.instagram.com/asd_entrainscena/,Calatabiano,Via Macherione 120,palestra / danza,verificato,"Profilo attivo, offre zumba, fitness jump, fit boxe e danza a Calatabiano.",https://www.instagram.com/asd_entrainscena/ | https://www.facebook.com/entrainscena/
40,You CAN DANCE studio danza e fitness,youcandanceaccademia,https://www.instagram.com/youcandanceaccademia/,Calatabiano,Via Battioni 10,studio danza e fitness,verificato,"Profilo attivo, offre danza e fitness a Calatabiano e Fiumefreddo di Sicilia.",https://www.instagram.com/youcandanceaccademia/ | https://www.facebook.com/p/You-CAN-DANCE-studio-danza-e-fitness-100063662596955/
41,ASD Universal 95 Palestra,universal95,https://www.instagram.com/universal95/,Caltagirone,Caltagirone,palestra,probabile,"Il profilo sembra esistere (forse universal_95_), confermata la presenza a Caltagirone.",https://www.instagram.com/explore/locations/311268652/asd-universal-95-palestra/
42,EMS REVOLUTION CALTAGIRONE,emsrevolution_caltagirone,https://www.instagram.com/emsrevolution_caltagirone/,Caltagirone,Caltagirone,centro fitness,verificato,Profilo verificato tramite ricerca web.,https://www.instagram.com/emsrevolution_caltagirone/
43,Iron Fitness Club SSD S.R.L,ironfitness.club,https://www.instagram.com/ironfitness.club/,Caltagirone,Via Luigi Pirandello 4,palestra,verificato,Profilo verificato tramite ricerca web.,https://www.instagram.com/ironfitness.club/ | https://www.paginegialle.it/caltagirone-ct/palestre/iron-fitness-club-ssd-s-r-l
44,Kiran Club,kiran_club,https://www.instagram.com/kiran_club/,Caltagirone,Caltagirone,wellness club,verificato,Profilo verificato tramite ricerca web.,https://www.instagram.com/kiran_club/ | https://kiranclub.it/
45,Kiran Wellness,kiranwellnessclub,https://www.instagram.com/kiranwellnessclub/,Caltagirone,Caltagirone,wellness club,verificato,Profilo verificato tramite ricerca web.,https://www.instagram.com/kiranwellnessclub/ | https://kiranclub.it/wellness/
46,New Bobadilla Fitness Club,newbobadillafitnesscaltagirone,https://www.instagram.com/newbobadillafitnesscaltagirone/,Caltagirone,Caltagirone,palestra,verificato,Profilo verificato tramite ricerca web.,https://www.instagram.com/newbobadillafitnesscaltagirone/
47,Fit Lab Centro Fitness,fit.lab_centrifitness,https://www.instagram.com/fit.lab_centrifitness/,Camporotondo Etneo,Via Vergine Maria 12 A,palestra,verificato,"Profilo Instagram attivo, conferma sede a Camporotondo Etneo in Via Vergine Maria 12 A.",https://www.instagram.com/fit.lab_centrifitness/ | https://www.facebook.com/asdextreme.palestre/ | https://fitprime.com/it/servizi/places/centri-sportivi/catania/fit_lab_san_pietro_clarenza
48,Judica Fitness a.s.d,judica_fitness_asd,https://www.instagram.com/judica_fitness_asd/,Castel di Iudica,"Via Dott. S. Ingrassa 23, Giumarra",palestra,verificato,"Profilo Facebook e Instagram trovati, confermata associazione sportiva e palestra a Castel di Iudica (Giumarra).",https://www.facebook.com/p/Judica-Fitness-asd-100045156475851/ | https://www.instagram.com/explore/locations/1025390111/judica-fitness-asd/
49,Pleiadi Scienza e Movimento,pleiadi_sm,https://www.instagram.com/pleiadi_sm/,Castel di Iudica,Castel di Iudica,palestra,da_controllare,"Profilo Instagram attivo su fitness/danza, ma alcuni risultati web lo posizionano a Biancavilla (Via Perrieri), sebbene collabori con ASD Castel di Iudica.",https://www.instagram.com/pleiadi_sm/ | https://www.virgilio.it/italia/castel-di-iudica/cat/PALESTRE_E_FITNESS.html
50,Aesthetic Luxury Fitness Club,aestheticluxuryfitnessclub,https://www.instagram.com/aestheticluxuryfitnessclub/,Catania,Via Vincenzo Giuffrida 212,palestra,verificato,"Profilo ufficiale confermato, indirizzo a Catania.",https://www.instagram.com/aestheticluxuryfitnessclub/ | https://fitprime.com/en/services/places/sport-centers/catania/aesthetic_luxury_fitness_club
51,AREA FITNESS,areafitness_catania,https://www.instagram.com/areafitness_catania/,Catania,Catania,centro fitness,verificato,"Profilo Instagram confermato, palestra a Catania.",https://www.instagram.com/areafitness_catania/
52,City Wellness Palestra,citywellnessct,https://www.instagram.com/citywellnessct/,Catania,Via Cifali 3A,palestra,verificato,"Profilo ufficiale trovato (citywellnessct), indirizzo a Catania.",https://www.instagram.com/citywellnessct/ | https://www.facebook.com/citywellnessct/
53,Crossfit Catania,crossfit_catania,https://www.instagram.com/crossfit_catania/,Catania,Catania,crossfit,verificato,App e riferimenti confermano l'esistenza di Crossfit Catania.,https://www.instagram.com/crossfit_catania/
54,FitActive Catania Centro,fitactivecatania.centro,https://www.instagram.com/fitactivecatania.centro/,Catania,Via Oliveto Scammacca 34,palestra,verificato,"Profilo ufficiale confermato, indirizzo a Catania.",https://www.instagram.com/fitactivecatania.centro/ | https://www.fitactive.it/i-club/CataniaCentro.php
55,I-FIT Sport Club,ifitcatania_fisiopilates,https://www.instagram.com/ifitcatania_fisiopilates/,Catania,Via Vincenzo Scannapieco 2,palestra,verificato,"Profilo ufficiale trovato (ifitcatania_fisiopilates), indirizzo a Catania.",https://www.instagram.com/ifitcatania_fisiopilates/ | https://www.ifitsportclubcatania.it/
56,Mcfit Catania,mcfitcataniaspotted,https://www.instagram.com/mcfitcataniaspotted/,Catania,"Corso Italia, 91-95",palestra,da_controllare,"Trovato profilo spotted non ufficiale, ma la palestra esiste a Catania.",https://www.mcfit.com/it/palestra/catania | https://www.instagram.com/mcfitcataniaspotted/
57,Palestre Massimino,palestre_massimino_asd,https://www.instagram.com/palestre_massimino_asd/,Catania,Via dell'Esperanto 2,palestra,verificato,"Profilo ufficiale confermato, indirizzo a Catania.",https://www.instagram.com/palestre_massimino_asd/
58,Athletic Club,athleticclub_fiumefreddogiarre,https://www.instagram.com/athleticclub_fiumefreddogiarre/,Fiumefreddo di Sicilia,Fiumefreddo di Sicilia,palestra,verificato,"Profilo Instagram attivo, riferimenti a ginnastica e fitness, sedi a Giarre e Fiumefreddo di Sicilia.",https://www.instagram.com/athleticclub_fiumefreddogiarre/ | https://www.facebook.com/p/Athletic-Club-Giarre-Fiumefreddo-di-Sic-100063554139018/
59,Palestra Movimento e Benessere,movimentoebenessere_,https://www.instagram.com/movimentoebenessere_/,Fiumefreddo di Sicilia,Via Diana 175,palestra,verificato,"Profilo Instagram attivo, palestra a Fiumefreddo di Sicilia in Via Diana 175.",https://www.instagram.com/movimentoebenessere_/ | https://www.facebook.com/MovimentoeBenessere1/
60,Abion Gym,abiongymgiarre,https://www.instagram.com/abiongymgiarre/,Giarre,Giarre,palestra,verificato,"Profilo Instagram attivo, confermato a Giarre.",https://abiongymgiarre.com/ | https://www.instagram.com/abiongymgiarre/
61,FitActive Giarre,fitactive.giarre,https://www.instagram.com/fitactive.giarre/,Giarre,"Via Rovettazzo Loc. Trepunti, snc",palestra,verificato,"Profilo Instagram attivo, confermato a Giarre.",https://www.fitactive.it/i-club/Giarre.php | https://www.instagram.com/fitactive.giarre/
62,Fusion Fitness e Danza,fusionfitnessedanza,https://www.instagram.com/fusionfitnessedanza/,Giarre,Via Pietro Mascagni 15,palestra,verificato,"Profilo Instagram attivo, confermato a Giarre (Via Pietro Mascagni 15).",https://www.facebook.com/fusionfitnessdanza/?locale=it_IT | https://www.instagram.com/fusionfitnessedanza/
63,Number One Fitness,numberonefitness,https://www.instagram.com/numberonefitness/,Giarre,Giarre,palestra,verificato,"Profilo Instagram attivo, location Giarre confermata.",https://fitprime.com/it/servizi/places/centri-sportivi/catania/number_one_fitness
64,Over The Top Fitness,overthetopfitnessgiarre,https://www.instagram.com/overthetopfitnessgiarre/,Giarre,Giarre,personal training,verificato,"Profilo Instagram attivo, personal trainer a Giarre.",https://www.instagram.com/overthetopfitnessgiarre/
65,Tao Fitness,info.taofitness,https://www.instagram.com/info.taofitness/,Giarre,Via Lazio 29,palestra,verificato,"Profilo Instagram attivo, confermato a Giarre.",https://www.instagram.com/info.taofitness/
66,Ben&fit SPA e Fitness,benefit_spa_fitness,https://www.instagram.com/benefit_spa_fitness/,Grammichele,Via Carlo Alberto dalla Chiesa,centro benessere e fitness,verificato,"Profilo Instagram attivo e confermato, indirizzo e attività corrispondono a Grammichele.",https://www.instagram.com/benefit_spa_fitness/ | https://benefitsport.it/
67,Dynamic,_dynamic_fitnessand_dance,https://www.instagram.com/_dynamic_fitnessand_dance/,Grammichele,"Via Agostino De Pretis, 170",palestra,verificato,"Profilo Instagram attivo e confermato, indirizzo e attività corrispondono a Grammichele.",https://www.instagram.com/_dynamic_fitnessand_dance/ | https://www.facebook.com/p/Dynamic-100057860731310/
68,Athletic Center Gravina,athleticcentergravina,https://www.instagram.com/athleticcentergravina/,Gravina di Catania,Via A. Gramsci 64,palestra,verificato,"Profilo ufficiale verificato, indirizzo a Gravina di Catania confermato.",https://www.instagram.com/athleticcentergravina/ | https://www.facebook.com/p/Athletic-Center-Gravina-61565255846918/
69,OneFit Palestra,onefitpalestre,https://www.instagram.com/onefitpalestre/,Gravina di Catania,Via Milanese 59,palestra,verificato,"Profilo ufficiale verificato, sede a Gravina di Catania confermata.",https://www.instagram.com/onefitpalestre/ | https://www.onefitpalestre.it/
70,Orient & Fitness,orient_fitness_,https://www.instagram.com/orient_fitness_/,Gravina di Catania,Via Umberto 3,palestra,verificato,"Profilo ufficiale verificato, indirizzo a Gravina di Catania confermato.",https://www.instagram.com/orient_fitness_/ | https://www.facebook.com/p/Palestra-Orientfitness-100050448775851/
71,UP LEVEL Gravina di Catania,uplevelfitness,https://www.instagram.com/uplevelfitness/,Gravina di Catania,Via Don Bosco 36,palestra,verificato,"Profilo ufficiale verificato, sede a Gravina di Catania confermata.",https://www.instagram.com/uplevelfitness/ | https://uplevel.fitness/1048-gravina-di-catania-via-don-bosco-36 | https://www.instagram.com/p/DVgkYE2DB3C/
72,Bodyclub Licodiaeubea,bodyclub.licodiaeubea,https://www.instagram.com/bodyclub.licodiaeubea/,Licodia Eubea,Via Santa Lucia 78,palestra,verificato,"Profilo Instagram verificato, palestra situata a Licodia Eubea.",https://www.instagram.com/bodyclub.licodiaeubea/ | https://www.facebook.com/bodyclub.licodiaeubea/
73,Iron Gym,irongym.g,https://www.instagram.com/irongym.g/,Licodia Eubea,Via San Pietro 6,palestra,verificato,"Profilo Instagram verificato, palestra situata a Licodia Eubea.",https://www.instagram.com/irongym.g/ | https://www.facebook.com/p/Iron-Gym-100036326718156/
74,Etna Fit,etnafit_linguaglossa,https://www.instagram.com/etnafit_linguaglossa/,Linguaglossa,Via E.Grasso 6,palestra,verificato,"Profilo ufficiale verificato, palestra a Linguaglossa in Via E.Grasso 6.",https://www.instagram.com/etnafit_linguaglossa/ | https://www.etnafit.it/ | https://www.facebook.com/100063967154736/photos/
75,Vulk Lab,vulklab,https://www.instagram.com/vulklab/,Linguaglossa,Linguaglossa,cross-training e pilates,verificato,"Profilo ufficiale verificato, attività di cross-training e pilates a Linguaglossa.",https://www.instagram.com/vulklab/
76,Accademia Gym,cfaccademia_,https://www.instagram.com/cfaccademia_/,Maletto,Via Collodi 8a,palestra,verificato,Profilo Instagram ufficiale confermato dai post e dalla localizzazione a Maletto.,https://palestre.fitness/it/i/18449-accademia-palestra/ | https://www.instagram.com/cfaccademia_/ | https://www.facebook.com/p/Accademia-Gym-100064043444282/
77,Athenaeum Palestre,athenaeumpalestra,https://www.instagram.com/athenaeumpalestra/,Mascali,"Via Spiaggia 353, Mascali",palestra,verificato,"Profilo Instagram attivo, offre fitness, arti marziali e danza. Localizzato a Mascali.",https://www.instagram.com/athenaeumpalestra/ | https://www.facebook.com/p/Athenaeum-Palestre-100040193299390/ | https://lasiciliashopping.it/attivita/a-s-d-athenaeum-palestra-mascali-ct/
78,Palestra Mike's Gym,palestramikesgym,https://www.instagram.com/palestramikesgym/,Mascali,"Via Stazione 19, Mascali",palestra,verificato,"Profilo Instagram attivo, palestra ben nota a Mascali.",https://www.instagram.com/palestramikesgym/ | https://www.facebook.com/mikesgymfitness/
79,ASD OLYMPIC CLUB,olympiclub.90,https://www.instagram.com/olympiclub.90/,Mascalucia,Corso San Vito 57,palestra,verificato,"Profilo Instagram attivo, indirizzo a Mascalucia confermato.",https://www.instagram.com/olympiclub.90/ | https://www.instagram.com/p/DFF06wFoPLv/ | https://www.instagram.com/p/DFF06wFoPLv/?hl=en | https://www.facebook.com/olympiclub.90/
80,Etna Fitness,etnafitness,https://www.instagram.com/etnafitness/,Mascalucia,Via Tremestieri 48,palestra,verificato,"Profilo Instagram attivo, indirizzo a Mascalucia confermato.",https://www.instagram.com/etnafitness/
81,Indoor Club 2.0,indoor_club_2.0,https://www.instagram.com/indoor_club_2.0/,Mascalucia,Via Wagner n. 9,palestra,verificato,"Profilo Instagram attivo, indirizzo a Mascalucia confermato.",https://www.instagram.com/indoor_club_2.0/ | https://www.paginegialle.it/sicilia/mascalucia/palestre.html
82,Luné Pilates Studio,lunepilatesstudio,https://www.instagram.com/lunepilatesstudio/,Mascalucia,Via del Bosco 279,pilates,verificato,"Profilo Instagram attivo, studio pilates a Mascalucia.",https://www.instagram.com/lunepilatesstudio/
83,Palestra ASCAM,palestra_ascam,https://www.instagram.com/palestra_ascam/,Mascalucia,Via Siracusa n 6,palestra,verificato,"Profilo Instagram attivo, indirizzo a Mascalucia confermato.",https://www.instagram.com/palestra_ascam/ | https://www.paginegialle.it/sicilia/mascalucia/palestre.html
84,SGF Studio,sgf_rehab,https://www.instagram.com/sgf_rehab/,Mascalucia,Via IV Novembre 48,riabilitazione e benessere,verificato,"Profilo Instagram attivo, centro riabilitazione e benessere a Mascalucia.",https://www.instagram.com/sgf_rehab/
85,Olimpia Fitness Mazzarrone,olimpiafitnessmazzarrone,https://www.instagram.com/olimpiafitnessmazzarrone/,Mazzarrone,Viale del Lavoro,palestra,verificato,Profilo Instagram esistente e pagina Facebook ufficiale confermano l'attività a Mazzarrone.,https://fitprime.com/it/servizi/places/centri-sportivi/catania/olimpia_fitness | https://www.facebook.com/olimpiafitnessmazzarrone/ | https://www.instagram.com/explore/locations/1024993652/olimpia-fitness-mazzarrone/
86,Spazio Danza - Centro Sport & Salute,spaziodanzamilitello,https://www.instagram.com/spaziodanzamilitello/,Militello in Val di Catania,Via Vincenzo Bellini,palestra/danza/fitness,verificato,"Profilo Instagram ufficiale trovato e attivo, confermata la localizzazione a Militello in Val di Catania e le attività di danza e fitness.",https://www.facebook.com/spaziodanzamilitello/ | https://fitnessfast.it/spazio-danza-via-vincenzo-bellini-militello-in-val-di-catania/ | https://www.instagram.com/spaziodanzamilitello/
87,L.S. Gym,l.s._gym,https://www.instagram.com/l.s._gym/,Mineo,Via Nicolò da Mineo 5,palestra,verificato,"Profilo ufficiale confermato da post Instagram e pagina Facebook, localizzato a Mineo.",https://www.instagram.com/explore/locations/1584004345229052/ls-gym/ | https://www.facebook.com/p/LS-Gym-100063797760278/
88,Physio-Gym,physio_gym18,https://www.instagram.com/physio_gym18/,Mineo,Viale Madre Teresa di Calcutta 14,palestra,verificato,"Profilo ufficiale confermato da Instagram e Facebook, localizzato a Mineo.",https://www.instagram.com/physio_gym18/ | https://www.facebook.com/p/Physio-Gym-100063010222479/
89,ASD M&N fitness club,mnfitnessclub,https://www.instagram.com/mnfitnessclub/,Mirabella Imbaccari,Via Toniolo snc,palestra,verificato,"Profilo Instagram trovato e collegato alla palestra, confermata la localizzazione a Mirabella Imbaccari.",https://www.facebook.com/p/ASD-MN-fitness-club-100028153430161/ | https://www.instagram.com/mnfitnessclub/ | https://www.localshop24.com/it/piazza-armerina-en-it/attivita/palestra-corsi-fitness/asd-mn-fitness-clubmirabella-imbaccari/
90,City Jam Fitness Dance,cityjam_fitness,https://www.instagram.com/cityjam_fitness/,Mirabella Imbaccari,Mirabella Imbaccari,scuola di danza e fitness,verificato,"Scuola di danza e fitness con profilo Instagram ufficiale, confermata la localizzazione a Mirabella Imbaccari.",https://www.facebook.com/p/cityjam_fitness-100086933087551/ | https://www.instagram.com/cityjam_fitness/
91,Corfit Sicilia,corfitsicilia,https://www.instagram.com/corfitsicilia/,Misterbianco,"Centro Sicilia, Misterbianco",palestra,verificato,"Profilo Instagram ufficiale confermato, palestra situata a Misterbianco.",https://www.instagram.com/corfitsicilia/ | https://www.facebook.com/corfitsicilia/
